Country,Year,"Birth Per 1,000 population","Deaths Per 1,000 population","Net number of migrants per 1,000 population","     Rate of natural increase",Growth rate,"     Population","         Births","       Deaths","    Net numberof migrants","    Natural increase"
Tonga,2004,24.9,5.5,0,1.94,1.94,110237,2742,601,0,2141
Trinidad and Tobago,2006,12.9,10.6,-11.1,0.23,-0.87,1065842,13749,11266,-11799,2483
Trinidad and Tobago,2005,12.7,10.4,-11,0.24,-0.86,1075066,13675,11138,-11836,2537
Trinidad and Tobago,2004,12.7,10.2,-10.9,0.25,-0.84,1084206,13726,11005,-11872,2721
Trinidad and Tobago,2003,12.6,9.9,-10.9,0.27,-0.82,1093146,13817,10822,-11915,2995
Trinidad and Tobago,2002,12.7,9.7,-10.8,0.3,-0.78,1101832,13949,10633,-11944,3316
Trinidad and Tobago,2001,12.7,9.4,-10.8,0.33,-0.75,1110217,14133,10447,-11979,3686
Trinidad and Tobago,2000,12.9,9.2,-10.8,0.37,-0.71,1118204,14391,10254,-12021,4137
Trinidad and Tobago,2007,13.1,10.8,-11.1,0.23,-0.88,1056608,13810,11369,-11760,2441
Tunisia,2001,16.3,5,-0.7,1.14,1.07,9667365,157965,48047,-6477,109918
Tunisia,2002,16.2,5,-0.6,1.12,1.05,9770575,157990,48755,-6155,109235
Tunisia,2004,15.7,5,-0.6,1.07,1.01,9974722,157002,50372,-5686,106630
Tunisia,2005,15.5,5.1,-0.5,1.04,0.99,10074951,156162,51282,-5440,104880
Tunisia,2006,15.5,5.1,-0.5,1.04,0.99,10175014,157916,52198,-5088,105718
Tunisia,2007,15.5,5.2,-0.5,1.04,0.99,10276158,159691,53128,-4830,106563
Tunisia,2000,16.5,5,-0.7,1.15,1.08,9563816,157803,47437,-6695,110366
Tunisia,2003,16,5,-0.6,1.09,1.03,9873149,157674,49563,-5924,108111
Turkey,2004,17.2,6,0,1.13,1.13,68893918,1186353,409919,0,776434
Turkey,2003,17.6,6,0,1.16,1.16,68109469,1198046,405251,0,792795
Turkey,2002,17.9,6,0,1.2,1.2,67308928,1208195,400488,0,807707
Turkey,2001,18.3,6,0,1.24,1.24,66493970,1217505,395639,0,821866
Turkey,2000,18.6,6,0,1.27,1.27,65666677,1224684,391373,0,833311
Turkey,2005,16.8,6,0,1.09,1.09,69660559,1172387,415177,0,757210
Turkey,2006,16.6,6,0,1.06,1.06,70413958,1170280,420371,0,749909
Turkey,2007,16.4,6,0,1.04,1.04,71158647,1167002,426952,0,740050
Turkmenistan,2003,26.8,6.5,-3,2.03,1.73,4768664,127848,31187,-14354,96661
Turkmenistan,2005,25.9,6.3,-3,1.96,1.66,4932743,127955,31224,-14897,96731
Turkmenistan,2002,27.3,6.7,-3,2.06,1.76,4686153,127979,31210,-14058,96769
Turkmenistan,2001,27.9,6.8,-3,2.11,1.81,4603215,128200,31256,-13764,96944
Turkmenistan,2007,25.4,6.2,-3,1.92,1.62,5097028,129261,31449,-15342,97812
Turkmenistan,2004,26.4,6.4,-3,1.99,1.69,4850818,127819,31191,-14649,96628
Turkmenistan,2006,25.6,6.2,-3,1.94,1.64,5014737,128578,31342,-15145,97236
Turkmenistan,2000,28.4,6.9,-3,2.15,1.85,4519796,128498,31367,-13469,97131
Turks and Caicos Islands,2007,21.5,4.2,10,1.73,2.72,21746,467,92,217,375
Turks and Caicos Islands,2005,22.2,4.3,11.1,1.79,2.9,20556,457,88,228,369
Turks and Caicos Islands,2004,22.9,4.3,11.7,1.86,3.03,19956,456,85,233,371
Turks and Caicos Islands,2003,23.5,4.3,12.2,1.92,3.14,19350,455,84,237,371
Turks and Caicos Islands,2002,24.2,4.4,13,1.98,3.28,18738,453,82,243,371
Turks and Caicos Islands,2001,24.9,4.5,13.7,2.04,3.41,18122,451,81,248,370
Turks and Caicos Islands,2000,25.6,4.6,14.5,2.11,3.55,17502,449,80,253,369
Turks and Caicos Islands,2006,21.8,4.2,10.5,1.76,2.82,21152,462,89,223,373
Tuvalu,2006,22.2,7.1,0,1.51,1.51,11810,262,84,0,178
Tuvalu,2005,21.9,7.2,0,1.47,1.47,11636,255,84,0,171
Tuvalu,2004,21.6,7.2,0,1.44,1.44,11468,248,83,0,165
Tuvalu,2002,21.4,7.5,0,1.4,1.4,11146,239,83,0,156
Tuvalu,2001,21.6,7.5,0,1.4,1.4,10991,237,83,0,154
Tuvalu,2000,21.8,7.7,0,1.41,1.41,10838,236,83,0,153
Tuvalu,2007,22.4,7,0,1.54,1.54,11992,269,84,0,185
Tuvalu,2003,21.6,7.3,0,1.42,1.42,11305,244,83,0,161
Uganda,2002,47.9,15.8,0.4,3.21,3.26,25469579,1219993,401146,10952,818847
Uganda,2003,47.9,15.1,0.4,3.28,3.33,26321962,1260822,396409,11582,864413
Uganda,2004,48,14.2,1.1,3.37,3.48,27233661,1306126,387807,29957,918319
Uganda,2000,48.3,17.2,-0.3,3.11,3.08,23955822,1156827,411801,-6468,745026
Uganda,2005,48,13.5,0.3,3.45,3.48,28199390,1354699,380974,8460,973725
Uganda,2006,48.1,13,0.3,3.51,3.53,29206503,1404541,380561,7886,1023980
Uganda,2007,48.1,12.6,0.2,3.55,3.57,30262610,1456237,382519,7263,1073718
Uganda,2001,48,16.5,-2,3.16,2.96,24690002,1186108,406397,-49874,779711
Ukraine,2003,8.6,16.1,-0.5,-0.75,-0.8,47667080,408507,765533,-24310,-357026
Ukraine,2004,9,16.1,-0.2,-0.71,-0.72,47305388,427168,761144,-7569,-333976
Ukraine,2006,9.3,16.2,-0.1,-0.69,-0.71,46620334,434968,757580,-6527,-322612
Ukraine,2002,8.1,15.7,-0.7,-0.76,-0.83,48056819,390702,754973,-33640,-364271
Ukraine,2001,7.8,15.4,-2.8,-0.76,-1.04,48507924,376421,746052,-135822,-369631
Ukraine,2000,7.9,15.5,-2.4,-0.76,-1,49005222,385181,758111,-116142,-372930
Ukraine,2007,9.4,16.1,-0.1,-0.66,-0.68,46299862,437534,744039,-6019,-306505
Ukraine,2005,9.2,16.5,-0.1,-0.73,-0.74,46959420,431087,773891,-7044,-342804
United Arab Emirates,2007,16.1,2.2,26,1.39,4,4444011,71504,9599,115722,61905
United Arab Emirates,2001,16.6,2.3,35.8,1.42,5.01,3387327,56128,7926,121368,48202
United Arab Emirates,2002,16.3,2.3,34.3,1.4,4.83,3558098,58068,8184,122078,49884
United Arab Emirates,2003,16.4,2.3,32.8,1.41,4.7,3731700,61163,8471,122549,52692
United Arab Emirates,2004,16.1,2.2,31.4,1.39,4.54,3907949,63113,8754,122905,54359
United Arab Emirates,2005,16.2,2.2,30.1,1.4,4.41,4086602,66039,9031,123048,57008
United Arab Emirates,2000,16.7,2.4,37.4,1.43,5.17,3219297,53698,7630,120402,46068
United Arab Emirates,2006,16.1,2.2,27.9,1.4,4.19,4265914,68809,9300,119104,59509
United Kingdom,2000,11.4,10.3,2.4,0.12,0.35,59522468,679151,610701,139878,68450
United Kingdom,2001,11.3,10.2,2.2,0.1,0.32,59723243,672484,611566,131988,60918
United Kingdom,2002,11.1,10.2,2.2,0.09,0.31,59912431,665627,612305,131807,53322
United Kingdom,2003,11,10.2,2.2,0.08,0.3,60094648,660440,613566,132208,46874
United Kingdom,2004,10.9,10.2,2.2,0.07,0.29,60270708,655745,614159,131993,41586
United Kingdom,2005,10.8,10.2,2.2,0.06,0.28,60441457,651559,615294,131762,36265
United Kingdom,2006,10.7,10.1,2.2,0.06,0.28,60609153,649124,613971,132128,35153
United Kingdom,2007,10.7,10.1,2.2,0.06,0.28,60776238,648482,613232,131884,35250
United States,2001,14.2,8.7,3.7,0.56,0.93,285023886,4050189,2468307,1065989,1581882
United States,2002,14.2,8.6,3.6,0.56,0.93,287675526,4076362,2459626,1044262,1616736
United States,2003,14.1,8.4,3.5,0.57,0.92,290342554,4105444,2450491,1022006,1654953
United States,2004,14.1,8.3,3.4,0.58,0.92,293027571,4140480,2443850,999224,1696630
United States,2005,14.1,8.2,3.3,0.59,0.92,295734134,4181681,2439807,978880,1741874
United States,2000,14.4,8.5,3.7,0.59,0.96,282338631,4062853,2405525,1047476,1657328
United States,2007,14.2,8.3,3,0.59,0.89,301139947,4264142,2487416,918477,1776726
United States,2006,14.1,8.3,3.2,0.59,0.91,298444215,4220001,2465149,949053,1754852
Uruguay,2006,14.6,9.2,-0.2,0.54,0.52,3442945,50370,31641,-861,18729
Uruguay,2007,14.4,9.2,-0.2,0.53,0.5,3460607,49867,31699,-727,18168
Uruguay,2005,14.8,9.2,-0.3,0.56,0.53,3424889,50825,31646,-959,19179
Uruguay,2004,15.1,9.3,-0.3,0.58,0.55,3406388,51505,31645,-1056,19860
Uruguay,2003,15.4,9.3,-0.3,0.61,0.57,3387337,52199,31672,-1186,20527
Uruguay,2002,15.7,9.4,-0.4,0.63,0.58,3367820,52807,31725,-1414,21082
Uruguay,2001,15.9,9.5,-0.5,0.65,0.59,3348016,53401,31773,-1707,21628
Uruguay,2000,16.2,9.6,-0.6,0.66,0.6,3328075,53915,31816,-2097,22099
Uzbekistan,2003,26.1,8,-1.8,1.81,1.63,25981647,677861,207074,-47546,470787
Uzbekistan,2004,26.1,8,-1.7,1.82,1.65,26410416,689840,209963,-45426,479877
Uzbekistan,2006,26.4,7.8,-1.5,1.85,1.7,27307134,719816,214088,-40961,505728
Uzbekistan,2002,26.1,8,-1.9,1.81,1.62,25563441,666950,203996,-49593,462954
Uzbekistan,2001,26.1,8,-2.1,1.81,1.6,25155064,656547,201241,-51819,455306
Uzbekistan,2000,26.2,8,-2.2,1.82,1.6,24755519,648099,198539,-53967,449560
Uzbekistan,2007,26.5,7.7,-1.4,1.87,1.73,27780059,735060,214740,-38892,520320
Uzbekistan,2005,26.2,8,-1.6,1.83,1.67,26851195,704038,213467,-43230,490571
Vanuatu,2000,25.9,8.5,0,1.74,1.74,189618,4917,1616,0,3301
Vanuatu,2001,25.4,8.4,0,1.7,1.7,192910,4900,1617,0,3283
Vanuatu,2002,24.8,8.2,0,1.66,1.66,196178,4871,1618,0,3253
Vanuatu,2003,24.3,8.1,0,1.61,1.61,199414,4838,1621,0,3217
Vanuatu,2007,22.4,7.8,0,1.46,1.46,211971,4738,1643,0,3095
Vanuatu,2005,23.1,7.9,0,1.52,1.51,205754,4745,1625,0,3120
Vanuatu,2004,23.7,8,0,1.56,1.57,202609,4796,1625,0,3171
Vanuatu,2006,22.7,7.8,0,1.49,1.49,208869,4746,1633,0,3113
Venezuela,2007,21.2,5.1,-1.3,1.61,1.49,26023528,552219,132200,-33310,420019
Venezuela,2000,24.2,5,-3.9,1.91,1.52,23492753,568055,118638,-91857,449417
Venezuela,2006,21.5,5.1,-1.7,1.65,1.47,25641462,551548,129746,-44616,421802
Venezuela,2005,21.8,5,-2.2,1.67,1.45,25269177,550363,127609,-55592,422754
Venezuela,2004,22.3,5,-2.7,1.72,1.45,24904615,554377,125519,-66744,428858
Venezuela,2002,23.2,5,-3.7,1.82,1.45,24191766,561975,121927,-89026,440048
Venezuela,2001,23.7,5,-4.2,1.87,1.45,23843874,565577,120173,-100383,445404
Venezuela,2003,22.7,5,-3.2,1.77,1.45,24545434,558163,123709,-78054,434454
Vietnam,2007,16.6,6.2,-0.4,1.04,1,85262356,1417913,527774,-34105,890139
Vietnam,2006,16.9,6.2,-0.4,1.06,1.02,84402966,1423034,524986,-35449,898048
Vietnam,2005,17.1,6.2,-0.4,1.09,1.04,83535576,1425952,517921,-35920,908031
Vietnam,2004,17.2,6.2,-0.5,1.1,1.06,82662800,1422627,511683,-37198,910944
Vietnam,2003,17.3,6.2,-0.5,1.11,1.06,81790803,1415799,507921,-37624,907878
Vietnam,2002,17.8,6.2,-0.5,1.15,1.11,80908147,1436929,504058,-38027,932871
Vietnam,2001,18.3,6.3,-0.5,1.2,1.15,79999453,1463190,502397,-39200,960793
Vietnam,2000,18.9,6.3,-0.5,1.26,1.21,79060410,1492661,497290,-40321,995371
Virgin Islands,2007,13.7,6.6,-8.8,0.71,-0.17,108448,1484,715,-954,769
Virgin Islands,2006,14,6.4,-8.7,0.75,-0.12,108605,1516,698,-948,818
Virgin Islands,2005,14.2,6.3,-8.6,0.79,-0.07,108708,1544,681,-939,863
Virgin Islands,2004,14.5,6.1,-8.9,0.84,-0.05,108775,1576,664,-972,912
Virgin Islands,2003,14.8,5.9,-9,0.88,-0.02,108814,1608,646,-982,962
Virgin Islands,2002,15.1,5.8,-9,0.93,0.03,108810,1639,629,-981,1010
Virgin Islands,2001,15.3,5.7,-8.8,0.97,0.09,108749,1668,614,-960,1054
Virgin Islands,2000,15.6,5.5,-8.9,1.01,0.12,108637,1696,598,-968,1098
"Virgin Islands, British",2001,15.2,4.4,11.4,1.08,2.21,20812,316,92,237,224
"Virgin Islands, British",2002,15.1,4.4,10.9,1.07,2.16,21272,321,94,232,227
"Virgin Islands, British",2003,15,4.5,10.4,1.05,2.1,21730,326,97,227,229
"Virgin Islands, British",2000,15.3,4.5,11.6,1.08,2.25,20353,311,91,237,220
"Virgin Islands, British",2004,15,4.4,10,1.05,2.06,22187,332,98,222,234
"Virgin Islands, British",2005,14.9,4.4,9.6,1.05,2.01,22643,337,100,218,237
"Virgin Islands, British",2006,14.9,4.4,9.2,1.05,1.97,23098,344,102,213,242
"Virgin Islands, British",2007,14.8,4.4,8.8,1.04,1.92,23552,349,104,208,245
Wallis and Futuna,2006,0,0,0,0,0,0,,,,
Wallis and Futuna,2007,0,0,0,0,0,0,,,,
Wallis and Futuna,2005,0,0,0,0,0,0,,,,
Wallis and Futuna,2004,0,0,0,0,0,0,,,,
Wallis and Futuna,2003,0,0,0,0,0,0,,,,
Wallis and Futuna,2002,0,0,0,0,0,0,,,,
Wallis and Futuna,2001,0,0,0,0,0,0,,,,
Wallis and Futuna,2000,21.7,4.5,-6.9,1.71,1.02,15283,331,69,-106,262
West Bank,2000,36.7,4.5,1.5,3.22,3.38,2020298,74206,9071,3051,65135
West Bank,2007,31,3.9,2.7,2.71,2.98,2535927,78588,9763,6872,68825
West Bank,2006,31.7,3.9,2.8,2.77,3.06,2460492,77924,9645,6889,68279
West Bank,2005,32.4,4,2.9,2.84,3.13,2385615,77222,9519,6871,67703
West Bank,2004,33.2,4.1,3,2.91,3.21,2311204,76755,9407,6887,67348
West Bank,2003,34.1,4.2,3.1,2.99,3.3,2237194,76221,9307,6868,66914
West Bank,2002,34.9,4.3,3.2,3.07,3.39,2163667,75599,9217,6880,66382
West Bank,2001,35.8,4.4,3.3,3.15,3.48,2090713,74910,9136,6878,65774
Western Sahara,2004,41.6,12.8,1.6,2.88,3.04,349971,14559,4494,560,10065
Western Sahara,2007,40.4,12,0.7,2.84,2.91,382617,15446,4591,279,10855
Western Sahara,2001,42.9,13.7,2.6,2.91,3.18,318845,13672,4381,839,9291
Western Sahara,2006,40.8,12.3,1,2.85,2.95,371567,15156,4563,372,10593
Western Sahara,2005,41.2,12.6,1.3,2.87,3,360684,14864,4530,465,10334
Western Sahara,2003,42,13.1,1.9,2.89,3.08,339432,14256,4457,652,9799
Western Sahara,2002,42.4,13.4,2.3,2.9,3.13,329058,13965,4419,747,9546
Western Sahara,2000,43.3,14.1,3,2.93,3.23,308794,13377,4342,933,9035
WORLD,2000,21.4,8.8,0,1.26,1.26,6071710896,129827132,53245470,-250686,76581662
WORLD,2001,21,8.7,0,1.23,1.23,6147499951,129116878,53552369,-255457,75564509
WORLD,2002,20.7,8.7,-0.1,1.21,1.2,6222515319,128943038,53868346,-330319,75074692
WORLD,2003,20.6,8.6,-0.1,1.2,1.19,6297409158,129818415,54327841,-444959,75490574
WORLD,2004,20.5,8.6,0,1.19,1.19,6372892721,130413132,54622509,170920,75790623
WORLD,2005,20.3,8.5,0,1.19,1.19,6449099710,131152079,54728615,49422,76423464
WORLD,2006,20.2,8.4,-0.1,1.18,1.17,6525521471,131892285,54999317,-519366,76892968
WORLD,2007,20.1,8.4,-0.1,1.17,1.17,6602236753,132639868,55238376,-355726,77401492
Yemen,2007,42.7,8.1,0,3.46,3.46,22230531,948577,178956,0,769621
Yemen,2006,42.9,8.3,0,3.46,3.46,21474477,920611,178023,0,742588
Yemen,2005,43,8.5,0,3.45,3.45,20745098,893076,176956,0,716120
Yemen,2004,43.1,8.8,0,3.44,3.44,20042684,864441,175774,0,688667
Yemen,2003,43.2,9,0,3.42,3.42,19367311,836668,174693,0,661975
Yemen,2002,43.3,9.3,0,3.4,3.4,18718209,809937,173705,0,636232
Yemen,2001,43.3,9.6,0,3.38,3.38,18094479,784034,172802,0,611232
Yemen,2000,43.4,9.8,0,3.36,3.36,17495140,759464,171977,0,587487
Zambia,2007,40.8,21.5,-2.7,1.93,1.66,11477447,468050,246306,-30760,221744
Zambia,2006,41,21.8,-2.7,1.93,1.66,11288253,463157,245520,-30704,217637
Zambia,2005,41.3,22.3,-4.7,1.9,1.43,11115381,459065,248318,-52353,210747
Zambia,2004,41.6,23.2,-4.9,1.84,1.36,10962026,456020,253881,-53385,202139
Zambia,2003,42,23.4,-2.2,1.86,1.64,10799937,453165,252611,-24084,200554
Zambia,2002,42.4,23.4,-4.1,1.89,1.48,10633077,450311,249346,-43170,200965
Zambia,2001,42.8,23.5,2.5,1.93,2.18,10439789,446614,245335,26517,201279
Zambia,2000,43.3,23.5,3.9,1.98,2.37,10205262,441480,239722,39698,201758
Zimbabwe,2006,28,21.8,0,0.62,0.62,12236805,342753,267252,0,75501
Zimbabwe,2005,28.2,21.9,0,0.63,0.63,12160782,343177,266564,0,76613
Zimbabwe,2004,28.4,22,0,0.65,0.65,12083553,343294,265355,0,77939
Zimbabwe,2003,28.6,21.9,0.1,0.66,0.67,12004576,342851,263260,720,79591
Zimbabwe,2002,28.7,21.8,-0.6,0.69,0.64,11926563,342531,259641,-6560,82890
Zimbabwe,2001,28.9,21.4,0.1,0.74,0.75,11844109,342058,253938,829,88120
Zimbabwe,2000,29.1,20.9,0.1,0.82,0.83,11751323,341846,245603,823,96243
Zimbabwe,2007,27.7,21.8,0,0.6,0.59,12311143,341265,267890,0,73375
